task_name,dataset_id,error_rate_bin,cleaning_method,cluster_method,Silhouette Score,Davies-Bouldin Score,Combined Score,alpha,H_alpha
hospital,37,10,boostclean,KMEANSPPS,0.192393330188847,1.14104810442464,0.519997553715153,0.75,0.5576510259951598
hospital,37,10,boostclean,DBSCAN,0.0264650395376988,2.0236362678133,0.397094619961674,0.75,0.4510121804562383
hospital,37,10,holoclean,KMEANSNF,0.27597335446739,1.0833354930951,0.543224270752769,0.75,0.5894811760975591
hospital,37,10,holoclean,GMM,0.319924043018413,0.978021908171261,0.5680159951034,0.75,0.6131454056717142
hospital,37,10,holoclean,HC,0.702684506160546,0.226163188690004,0.831991136143017,0.75,0.8421034244730572
hospital,37,10,holoclean,KMEANS,0.336485711558608,0.957493527381493,0.57444566475156,0.75,0.6204552288699732
hospital,37,10,holoclean,KMEANSPPS,0.282662149599206,1.01644889606096,0.555071801665782,0.75,0.5975304026191739
hospital,37,10,holoclean,DBSCAN,0.24999581160854,1.85701772477483,0.441263052782827,0.75,0.5223954993759111
hospital,37,10,horizon,KMEANSNF,0.270173469106773,1.00875799339701,0.554109289482977,0.75,0.594130976018722
hospital,37,10,horizon,GMM,0.257064512844155,1.10925138644984,0.53599842949518,0.75,0.5812030693858138
hospital,37,10,horizon,HC,0.505309940202007,0.567534543333421,0.687167424984074,0.75,0.7202762711653069
hospital,37,10,horizon,KMEANS,0.268013567240277,1.11579550329987,0.536858386730442,0.75,0.5841457521582112
hospital,37,10,horizon,KMEANSPPS,0.31108218023266,1.05429492348614,0.553789188794499,0.75,0.6032575523119915
hospital,37,10,horizon,DBSCAN,0.0701055437246802,2.2778895674049,0.382306912935889,0.75,0.45020642935818744
hospital,37,10,scared,KMEANSNF,0.237216638207378,1.23666098307528,0.514085888530585,0.75,0.5644729512103513
hospital,37,10,scared,GMM,0.259718507589555,1.11557691740081,0.535488361844556,0.75,0.5815182657107046
hospital,37,10,scared,HC,0.302934004199612,0.698189877094089,0.616716989189225,0.75,0.6346001753257124
hospital,37,10,scared,KMEANS,0.269664915225939,1.1549274746952,0.53121855051587,0.75,0.5813460214293514
hospital,37,10,scared,KMEANSPPS,0.278994406883222,1.04948023833981,0.549095471933335,0.75,0.5934131972666318
hospital,37,10,scared,DBSCAN,-0.168113236411854,2.52271516617695,0.333666942464108,0.75,0.37260478250367335
hospital,37,10,baran,KMEANSNF,0.220342115947059,1.18022001882366,0.519266767624653,0.75,0.5636284319447794
hospital,37,10,baran,GMM,0.288678097439992,1.18865752433577,0.529263472980727,0.75,0.5844030374032526
hospital,37,10,baran,HC,0.480139657242022,0.394466774289304,0.727726512171308,0.75,0.734195751122451
hospital,37,10,baran,KMEANS,0.266468348817076,1.22501108357099,0.520432886077252,0.75,0.574498450118075
hospital,37,10,baran,KMEANSPPS,0.22883680175083,1.34135551232203,0.498536926212954,0.75,0.5537081866571779
hospital,37,10,baran,DBSCAN,0.125154887157163,2.02591493390183,0.409974608565119,0.75,0.4785539579963211
hospital,37,10,Unified,KMEANSNF,0.219181668846491,1.14360909579756,0.524350361899725,0.75,0.5661758400893422
hospital,37,10,Unified,GMM,0.288029316046163,1.02905192615352,0.553956905289701,0.75,0.5981459575401895
hospital,37,10,Unified,HC,0.481472144800935,0.377266018900519,0.73289335902563,0.75,0.7370158702830315
hospital,37,10,Unified,KMEANS,0.256872287931892,1.00966581903816,0.55156859666896,0.75,0.5896730100888582
hospital,37,10,Unified,KMEANSPPS,0.211626455519232,1.12390595024564,0.525904249476239,0.75,0.5652969378726138
hospital,37,10,Unified,DBSCAN,-0.135864460889687,2.61748630588176,0.332772051286633,0.75,0.3787576958658914
hospital,37,10,GroundTruth,KMEANSNF,0.302106284594606,1.01899565114832,0.558043508720911,0.75,0.6035991625730661
hospital,37,10,GroundTruth,GMM,0.327458033629477,0.975320347624405,0.569787551195372,0.75,0.6158358575085988
hospital,37,10,GroundTruth,HC,0.602483264623591,0.297695800765916,0.784702467910618,0.75,0.7933541251066107
hospital,37,10,GroundTruth,KMEANS,0.335248312653257,0.994750884760798,0.56779246876387,0.75,0.6164945808042043
hospital,37,10,GroundTruth,KMEANSPPS,0.335032933251143,0.993790700206378,0.567919945222277,0.75,0.6165169338086337
hospital,37,10,GroundTruth,DBSCAN,0.242159967502909,1.69346159381856,0.457816558560225,0.75,0.5316492574495326
hospital,38,15,mode,KMEANSNF,0.0999580497781919,1.64107124163091,0.443587669001126,0.75,0.4940818431085074
hospital,38,15,mode,GMM,0.0715329652531231,1.653121585449,0.437942976651541,0.75,0.4846971414335748
hospital,38,15,mode,HC,0.419769179575159,0.394357855445938,0.713730475248954,0.75,0.7116935093237222
hospital,38,15,mode,KMEANS,0.139373433969161,1.68171188123159,0.445172123853565,0.75,0.5032862009558041
hospital,38,15,mode,KMEANSPPS,0.131259919508371,1.87046637822362,0.425119617454338,0.75,0.4893392984325756
hospital,38,15,mode,DBSCAN,-0.0005572868271726,1.80014526342252,0.412438972777338,0.75,0.45436521360487053
hospital,38,15,bigdansing,KMEANSNF,0.152737133428942,1.33941299241477,0.48653766727572,0.75,0.5301934720135091
hospital,38,15,bigdansing,GMM,0.161918954970656,1.45026464100177,0.474462805540215,0.75,0.525338660341811
hospital,38,15,bigdansing,HC,0.248057541821791,0.502037480205447,0.645473505393301,0.75,0.633963839712802
hospital,38,15,bigdansing,KMEANS,0.16703015132541,1.41860376246081,0.479082461794815,0.75,0.5291103901048313
hospital,38,15,bigdansing,KMEANSPPS,0.157840812579219,1.50107869209326,0.467852082740788,0.75,0.5206205969539736
hospital,38,15,bigdansing,DBSCAN,-0.107907042252877,2.15351062987537,0.366964062626762,0.75,0.4048883334743139
hospital,38,15,holoclean,KMEANSNF,0.156288642518277,1.48535694885875,0.469442797790852,0.75,0.521215237629223
hospital,38,15,holoclean,GMM,0.161939624802872,1.55702414219303,0.462061319813155,0.75,0.5180807843288785
hospital,38,15,holoclean,HC,0.462455656175405,0.6310905864353,0.663467628242303,0.75,0.6976201804817317
hospital,38,15,holoclean,KMEANS,0.173361683167651,1.46650414609651,0.47430135542822,0.75,0.5277033049011716
hospital,38,15,holoclean,KMEANSPPS,0.151277846428862,1.56931914118852,0.45908977641323,0.75,0.5140780619517825
hospital,38,15,holoclean,DBSCAN,-0.0638876368020119,3.4294803682556,0.298349154639664,0.75,0.3690388459483641
hospital,38,15,horizon,KMEANSNF,0.321762867465574,1.07853496415899,0.551634363920781,0.75,0.6044188647018329
hospital,38,15,horizon,GMM,0.306829422842082,0.944010939374753,0.571551386907802,0.75,0.6120629222277366
hospital,38,15,horizon,HC,0.589234832290748,0.275659692147825,0.788905310574803,0.75,0.791912755242789
hospital,38,15,horizon,KMEANS,0.308709788147084,0.958242330674035,0.569432919859164,0.75,0.6113487339820354
hospital,38,15,horizon,KMEANSPPS,0.326316871770335,1.02546180173438,0.561096591593754,0.75,0.6107553124275885
hospital,38,15,horizon,DBSCAN,0.0035262895419913,2.0869598721827,0.38868375728849,0.75,0.44121492371434445
hospital,38,15,scared,KMEANSNF,0.154219354555422,1.37473331668756,0.482389895362209,0.75,0.5281886373171096
hospital,38,15,scared,GMM,0.200064147304599,0.96586460728866,0.547885252272713,0.75,0.574250822162145
hospital,38,15,scared,HC,0.202547984602732,0.45538969955941,0.643902510540429,0.75,0.6206558366459456
hospital,38,15,scared,KMEANS,0.16172531445135,0.988139133752899,0.536810404593531,0.75,0.5592159959712862
hospital,38,15,scared,KMEANSPPS,0.154615204887121,1.15751668089101,0.510827529695121,0.75,0.5439177454699163
