alpha,task_name,cleaning_method,cluster_method,median_H,mean_H,n_rows
0.47,beers,scared,KMEANSPPS,0.5313136639149196,0.5236168678063232,15
0.47,flights,GroundTruth,DBSCAN,0.5995790788288528,0.5995790788288528,15
0.47,flights,GroundTruth,GMM,0.6297523671922737,0.613611689097631,15
0.47,flights,GroundTruth,HC,0.6886331886475155,0.6883220592025843,15
0.47,flights,GroundTruth,KMEANS,0.6756107848530528,0.6756107848530528,15
0.47,flights,GroundTruth,KMEANSNF,0.6110147582743997,0.6102483657571643,15
0.47,flights,GroundTruth,KMEANSPPS,0.6317138150066655,0.6332777741781681,15
0.47,flights,Unified,DBSCAN,0.550817013062776,0.5662037446495022,15
0.47,flights,Unified,GMM,0.5660531239424229,0.5680153230976166,15
0.47,flights,Unified,HC,0.6409492445143324,0.6409391051243412,15
0.47,flights,Unified,KMEANS,0.5875052370969186,0.5861115546792297,15
0.47,flights,Unified,KMEANSNF,0.5585146233314056,0.5617213168036262,15
0.47,flights,Unified,KMEANSPPS,0.5646518903555677,0.5710725881835562,15
0.47,flights,baran,DBSCAN,0.5895612362120869,0.5371398360692903,15
0.47,flights,baran,GMM,0.6109455648205583,0.5942561512061244,15
0.47,flights,baran,HC,0.6857268812832324,0.6908840053755327,15
0.47,flights,baran,KMEANS,0.6223171262908206,0.6019230652024666,15
0.47,flights,baran,KMEANSNF,0.5846680711051849,0.5859401008985571,15
0.47,flights,baran,KMEANSPPS,0.5791036318961428,0.5808384070600181,15
0.47,flights,bigdansing,DBSCAN,0.5091037192622573,0.5088047213686399,15
0.47,flights,bigdansing,GMM,0.56701544610704,0.5734730833111785,15
0.47,flights,bigdansing,HC,0.6326003510565158,0.6383982071387528,15
0.47,flights,bigdansing,KMEANS,0.6001602834416884,0.6030612193416345,15
0.47,flights,bigdansing,KMEANSNF,0.594676650778649,0.5944436257109883,15
0.47,flights,bigdansing,KMEANSPPS,0.5831357626853938,0.5888501592699372,15
0.47,flights,boostclean,DBSCAN,0.4589072205064673,0.4747639545909132,15
0.47,flights,boostclean,GMM,0.5459912806202303,0.5438239489429415,15
0.47,flights,boostclean,HC,0.6277671285265798,0.6159311733333416,15
0.47,flights,boostclean,KMEANS,0.5503863992209469,0.5545938012517204,15
0.47,flights,boostclean,KMEANSNF,0.5405178588991846,0.5420889168588557,15
0.47,flights,boostclean,KMEANSPPS,0.5349067450674231,0.5399516754246656,15
0.47,flights,holoclean,DBSCAN,0.5233247967044728,0.524064853147012,14
0.47,flights,holoclean,GMM,0.6313343266081306,0.6247012831398793,14
0.47,flights,holoclean,HC,0.6613830581976005,0.6583418873933561,14
0.47,flights,holoclean,KMEANS,0.6263956259074386,0.6263956259074386,14
0.47,flights,holoclean,KMEANSNF,0.5951119151406633,0.5934003500158122,14
0.47,flights,holoclean,KMEANSPPS,0.6027695949158673,0.6030750881310872,14
0.47,flights,horizon,DBSCAN,0.6334519107908546,0.6337705365303843,15
0.47,flights,horizon,GMM,0.6226424857898187,0.6314946302256729,15
0.47,flights,horizon,HC,0.7638997473754818,0.7369542753084578,15
0.47,flights,horizon,KMEANS,0.6426317490654704,0.6417163388734667,15
0.47,flights,horizon,KMEANSNF,0.6021514572515273,0.6118037463229451,15
0.47,flights,horizon,KMEANSPPS,0.6108059638607675,0.6195183479378945,15
0.47,flights,mode,DBSCAN,0.6204861289084331,0.5987854820817364,15
0.47,flights,mode,GMM,0.728859808167268,0.7011884805682722,15
0.47,flights,mode,HC,0.8053032593385023,0.7807215205332947,15
0.47,flights,mode,KMEANS,0.7336948373994133,0.7016352341215515,15
0.47,flights,mode,KMEANSNF,0.6457173002296716,0.630151052454148,15
0.47,flights,mode,KMEANSPPS,0.6414164640806151,0.6388699921036565,15
0.47,flights,scared,DBSCAN,0.4806783522589413,0.4819687703815502,14
0.47,flights,scared,GMM,0.5481784770012026,0.5494627235255128,15
0.47,flights,scared,HC,0.6149780505951545,0.6169392193581729,15
0.47,flights,scared,KMEANS,0.5582502136761037,0.5583896288441657,15
0.47,flights,scared,KMEANSNF,0.537582986132034,0.5446456527674056,15
0.47,flights,scared,KMEANSPPS,0.5425904725367013,0.5451342442664221,15
0.47,hospital,GroundTruth,DBSCAN,0.4578165585602244,0.4575017787933722,15
0.47,hospital,GroundTruth,GMM,0.5697875511953722,0.5673437924503907,15
0.47,hospital,GroundTruth,HC,0.7847024679106176,0.7789136808860587,15
0.47,hospital,GroundTruth,KMEANS,0.56779246876387,0.5674054210284704,15
0.47,hospital,GroundTruth,KMEANSNF,0.5580435087209107,0.556967088885951,15
0.47,hospital,GroundTruth,KMEANSPPS,0.5593698504026591,0.5630025251766678,15
0.47,hospital,Unified,DBSCAN,0.36129632838521997,0.36791416092743223,7
0.47,hospital,Unified,GMM,0.4452797454361769,0.4628490075806987,15
0.47,hospital,Unified,HC,0.604766941807826,0.6244423350773334,15
0.47,hospital,Unified,KMEANS,0.43334322666143127,0.45499227773010087,15
0.47,hospital,Unified,KMEANSNF,0.4490607776366008,0.45011770398326517,15
0.47,hospital,Unified,KMEANSPPS,0.4244817915168506,0.43667632420387487,15
0.47,hospital,baran,DBSCAN,0.41413053043399084,0.41899563997960276,15
0.47,hospital,baran,GMM,0.5488467382053189,0.5533634278712669,15
0.47,hospital,baran,HC,0.7686326444768631,0.757950961806328,15
0.47,hospital,baran,KMEANS,0.5490901003310623,0.538892464375533,15
0.47,hospital,baran,KMEANSNF,0.5276390360145985,0.5230788798414076,15
0.47,hospital,baran,KMEANSPPS,0.5247369591416354,0.520457522796366,15
0.47,hospital,bigdansing,DBSCAN,0.36876531787870526,0.3672733247246272,13
0.47,hospital,bigdansing,GMM,0.4700450305221739,0.4606466990129935,15
0.47,hospital,bigdansing,HC,0.6799929369752263,0.6791481745458772,15
0.47,hospital,bigdansing,KMEANS,0.45427033566952063,0.45870368803428846,15
0.47,hospital,bigdansing,KMEANSNF,0.46672577459281644,0.4609293034222878,15
0.47,hospital,bigdansing,KMEANSPPS,0.4592464635897283,0.44869380713966006,15
0.47,hospital,boostclean,DBSCAN,0.3495162741655044,0.3600033595786587,9
0.47,hospital,boostclean,GMM,0.4432082393496112,0.4587480101740427,14
0.47,hospital,boostclean,HC,0.6023172680581055,0.6211778459726908,14
0.47,hospital,boostclean,KMEANS,0.4317948910077748,0.4522348746413436,14
0.47,hospital,boostclean,KMEANSNF,0.43478340220802436,0.44731642383421333,14
0.47,hospital,boostclean,KMEANSPPS,0.4239990372138211,0.43847338140578707,14
0.47,hospital,holoclean,DBSCAN,0.37573747461772505,0.3759437674933694,9
0.47,hospital,holoclean,GMM,0.4563853004541571,0.46524519498795125,9
0.47,hospital,holoclean,HC,0.6665744731044626,0.6790724639514321,9
0.47,hospital,holoclean,KMEANS,0.4508253760409529,0.4648999226928702,9
0.47,hospital,holoclean,KMEANSNF,0.45928328129007007,0.463068673926597,9
0.47,hospital,holoclean,KMEANSPPS,0.43960245438932993,0.45292154464552525,9
0.47,hospital,horizon,DBSCAN,0.37757392775922705,0.3800439960815178,15
0.47,hospital,horizon,GMM,0.5029954632695325,0.5144698448314322,15
0.47,hospital,horizon,HC,0.6871674249840743,0.6814548946020416,15
0.47,hospital,horizon,KMEANS,0.5045548469280636,0.5128288489081171,15
0.47,hospital,horizon,KMEANSNF,0.5031069170141819,0.5064320083236661,15
0.47,hospital,horizon,KMEANSPPS,0.482695730153197,0.49198780661318064,15
0.47,hospital,mode,DBSCAN,0.3793354278284247,0.36902113878041803,15
0.47,hospital,mode,GMM,0.43794297665154164,0.43918443510160693,15
