dataset,variant,seed,requested_error_rate,realized_error_rate,changed_cell_count,cleaning_state,clusterer,dirty_H_alpha,H_alpha,delta_H_vs_dirty,direction,valid_cluster_score,silhouette,davies_bouldin,n_rows_used,n_clusters,dirty_path,repaired_path,TP,FP,FN,EDR,precision,recall,F1
beers,original,44,0.3,0.3,5784,dirty,KMEANS,0.5258707044229782,0.5258707044229782,0.0,zero,True,0.2655787388049569,1.1865375826086777,1895,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_dirty.csv,0,0,5784,0.0,,0.0,
beers,original,44,0.3,0.3,5784,dirty,HC,0.5684210591155038,0.5684210591155038,0.0,zero,True,0.3496448427332139,1.0052447423394306,1895,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_dirty.csv,0,0,5784,0.0,,0.0,
beers,original,44,0.3,0.3,5784,mode_impute,KMEANS,0.5258707044229782,0.5349671800646102,0.009096475641631963,positive,True,0.2915502307725565,1.1537094480046346,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_mode_impute.csv,241,777,5543,-0.09266943291839558,0.23673870333988212,0.041666666666666664,0.07086151132019994
beers,original,44,0.3,0.3,5784,mode_impute,HC,0.5684210591155038,0.5612035332466501,-0.007217525868853714,negative,True,0.33922620040458373,1.0377110600472896,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_mode_impute.csv,241,777,5543,-0.09266943291839558,0.23673870333988212,0.041666666666666664,0.07086151132019994
beers,original,44,0.3,0.3,5784,winsor_mode,KMEANS,0.5258707044229782,0.4930126298671496,-0.03285807455582862,negative,True,0.26629995592909356,1.426463078925432,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_winsor_mode.csv,241,798,5543,-0.09630013831258645,0.23195380173243504,0.041666666666666664,0.0706434119888612
beers,original,44,0.3,0.3,5784,winsor_mode,HC,0.5684210591155038,0.4930126298671496,-0.07540842924835417,negative,True,0.26629995592909356,1.426463078925432,2410,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed44_err30_winsor_mode.csv,241,798,5543,-0.09630013831258645,0.23195380173243504,0.041666666666666664,0.0706434119888612
hospital,original,42,0.1,0.1,1800,dirty,KMEANS,0.3795839112875352,0.3795839112875352,0.0,zero,True,0.11150285622378318,2.3750222195595603,930,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_dirty.csv,0,0,1800,0.0,,0.0,
hospital,original,42,0.1,0.1,1800,dirty,HC,0.43638686010920297,0.43638686010920297,0.0,zero,True,0.1751735191685324,1.8144581725296873,930,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_dirty.csv,0,0,1800,0.0,,0.0,
hospital,original,42,0.1,0.1,1800,mode_impute,KMEANS,0.3795839112875352,0.3758803672372751,-0.0037035440502601324,negative,True,0.10228672766490303,2.4106571064514872,1000,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_mode_impute.csv,202,0,1598,0.11222222222222222,1.0,0.11222222222222222,0.2017982017982018
hospital,original,42,0.1,0.1,1800,mode_impute,HC,0.43638686010920297,0.4369536920804589,0.0005668319712559544,positive,True,0.16573181115715985,1.796625675877833,1000,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_mode_impute.csv,202,0,1598,0.11222222222222222,1.0,0.11222222222222222,0.2017982017982018
hospital,original,42,0.1,0.1,1800,winsor_mode,KMEANS,0.3795839112875352,0.4046363033292469,0.02505239204171167,positive,True,0.1368898982917596,2.102901939145259,1000,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_winsor_mode.csv,202,36,1598,0.09222222222222222,0.8487394957983193,0.11222222222222222,0.19823356231599606
hospital,original,42,0.1,0.1,1800,winsor_mode,HC,0.43638686010920297,0.40353133020503396,-0.03285552990416901,negative,True,0.1513745427382074,2.135295942244017,1000,5,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\hospital\original\seed42_err10_winsor_mode.csv,202,36,1598,0.09222222222222222,0.8487394957983193,0.11222222222222222,0.19823356231599606
